19	PAUL HARDCASTLE
Need U 100 Percent	DUKE DUMONT FT AME
Needles And Pins	SEARCHERS
Never Be The Same Again	MELANIE C & LISA 'LEFT EYE' LOPES
Never Ever	ALL SAINTS
Never Forget	TAKE THAT
Never Gonna Give You Up	RICK ASTLEY
Never Gonna Leave Your Side	DANIEL BEDINGFIELD
Never Had A Dream Come True	S CLUB 7
Never Leave You	TINCHY STRYDER FEAT. AMELLE BERRABAH
Night Fever	BEE GEES
No Charge	J.J. BARRIE
No Limit	2 UNLIMITED
No Matter What	BOYZONE
No Regrets	DAPPY
No Tomorrow	ORSON
Nobody To Love	SIGMA
Not Letting Go	TINIE TEMPAH FT JESS GLYNNE
Nothin' On You	BOB FT BRUNO MARS
Nothing Compares 2 U	SINEAD O'CONNOR
Nothing's Gonna Change My Love For You	GLENN MEDEIROS
Nothing's Gonna Stop Us Now	STARSHIP
Now You're Gone	BASSHUNTER FT DJ MENTAL THEO'S BAZZHEADZ
Number 1	TINCHY STRYDER FEAT. N-DUBZ
Nut Rocker	B.BUMBLE & THE STINGERS
Ob-la-di Ob-la-da	MARMALADE
Obviously	McFLY
Oh Boy	MUD
Oh Carolina	SHAGGY
Oh Julie	SHAKIN' STEVENS
Oh Pretty Woman	ROY ORBISON
Omg	USHER FT WILL I AM
On The Floor	JENNIFER LOPEZ FT PITBULL
On The Rebound	FLOYD CRAMER
Once	DIANA VICKERS
One Dance	DRAKE FT WIZKID & KYLA
One Day At A Time	LENA MARTELL
One Day In Your Life	MICHAEL JACKSON
One Moment In Time	WHITNEY HOUSTON
One Night	ELVIS PRESLEY
One Way Or Another	ONE DIRECTION
Only Girl	RIHANNA
Only The Lonely	ROY ORBISON
Only You	FLYING PICKETS
Ooh Aah Just A Little Bit	GINA G
Oops I Did It Again	BRITNEY SPEARS
Oopsy Daisy	CHIPMUNK
Orinoco Flow	ENYA
Out Of Time	CHRIS FARLOWE
Over And Over	NELLY FEAT. TIM MCGRAW
Paint It, Black	ROLLING STONES
Papa Don't Preach	MADONNA
Paperback Writer	BEATLES
Paradise	COLDPLAY
Part Of Me	KATY PERRY
Party Rock Anthem	LMFAO
Pass Out	TINIE TEMPAH
Pass The Dutchie	MUSICAL YOUTH
Patience	TAKE THAT
Payphone	MAROON 5 FT WIZ KHALIFA
Perfect	FAIRGROUND ATTRACTION
Perfect Day	VARIOUS ARTISTS
Perfect Moment	MARTINE MCCUTCHEON
Pillowtalk	ZAYN
Pipes Of Peace	PAUL MCCARTNEY
Please Don't Go	KWS
Please Don't Let Me Go	OLLY MURS
Please Don't Tease	CLIFF RICHARD & THE SHADOWS
Poetry In Motion	JOHNNY TILLOTSON
Poker Face	LADY GAGA
Poor Me	ADAM FAITH
Praise You	FATBOY SLIM
Pray	TAKE THAT
Prayer In C	LILLY WOOD & ROBIN SCHULZ
Precious	JAM
Pretty Flamingo	MANFRED MANN
Pretty Fly For A White Guy	OFFSPRING
Price Tag	JESSIE J FT BOB
Prince Charming	ADAM & THE ANTS
Problem	ARIANA GRANDE FT IGGY AZALEA
Professional Widow	TORI AMOS
Promise This	CHERYL COLE
Promises	NERO
Pump Up The Volume	M|A|R|R|S
Puppet On A String	SANDIE SHAW
Puppy Love	DONNY OSMOND
Pure And Simple	HEAR'SAY
Pure Shores	ALL SAINTS
Push The Button	SUGABABES
Put Your Hands Up For Detroit	FEDDE LE GRANDE
Queen Of My Heart	WESTLIFE
R I P	RITA ORA FT TINIE TEMPAH
Radio	ROBBIE WILLIAMS
Rat Trap	BOOMTOWN RATS
Rather Be	CLEAN BANDIT FT JESS GLYNNE
Reach For The Stars	SHIRLEY BASSEY
Reach Out I'll Be There	FOUR TOPS
Read All About It	PROFESSOR GREEN FT EMELI SANDE
Ready Or Not	FUGEES
Real To Me	BRIAN McFADDEN
Reason To Believe	ROD STEWART
Red Red Wine	UB 40
Reet Petite	JACKIE WILSON
Relax	FRANKIE GOES TO HOLLYWOOD
Release Me	ENGELBERT HUMPERDINCK
Relight My Fire	TAKE THAT FEATURING LULU
Replay	IYAZ
Respectable	MEL & KIM
Return Of The Mack	MARK MORRISON
Return To Sender	ELVIS PRESLEY WITH THE JORDANAIRES
Rhythm Is A Dancer	SNAP
Ride On Time	BLACK BOX
Right Round	FLO RIDA
Ring My Bell	ANITA WARD
Rise	GABRIELLE
Rivers Of Babylon	BONEY M
Roar	KATY PERRY
Rock A Hula Baby	ELVIS PRESLEY
Rock Dj	ROBBIE WILLIAMS
Rock Me Amadeus	FALCO
Rock Your Baby	GEORGE MCCRAE
Rockabye	CLEAN BANDIT 
Rollercoaster	B*WITCHED
Rollin'	LIMP BIZKIT
Round Round	SUGABABES
Royals	LORDE
Rubber Bullets	10 C.C.
Ruby	KAISER CHIEFS
Rude	MAGIC
Run	LEONA LEWIS
Run This Town	JAY-Z FEAT. RIHANNA & KANYE WEST
Runaway	DEL SHANNON
Running Bear	JOHNNY PRESTON
Sacrifice	ELTON JOHN
Sad Sweet Dreamer	SWEET SENSATION
Sadeness Part 1	ENIGMA
Sailing	ROD STEWART
Sailor	PETULA CLARK
Same Old Brand New You	A1
San Francisco	SCOTT MCKENZIE
Saturday Night	WHIGFIELD
Save Your Kisses For Me	BROTHERHOOD OF MAN
Save Your Love	RENEE & RENATO
Saving All My Love For You	WHITNEY HOUSTON
Saviour's Day	CLIFF RICHARD
Say You Won't Let Go	JAMES ARTHUR
Say You'll Be There	SPICE GIRLS
School's Out	ALICE COOPER
Scream & Shout	WILL I AM FT BRITNEY SPEARS
Sealed With A Kiss	JASON DONOVAN
Seasons In The Sun	TERRY JACKS
Seasons In The Sun	WESTLIFE
See My Baby Jive	WIZZARD
See You Again	WIZ KHALIFA FT CHARLIE PUTH
Setting Sun	CHEMICAL BROTHERS
Seven Tears	GOOMBAY DANCE BAND
Sex On Fire	KINGS OF LEON
Sexy Chick	DAVID GUETTA FEAT. AKON
Sexyback	JUSTIN TIMBERLAKE
Shaddap You Face	JOE DOLCE MUSIC THEATRE
Shakin' All Over	JOHNNY KIDD & THE PIRATES
Shape Of You	ED SHEERAN
She	CHARLES AZNAVOUR
She Looks So Perfect	5 SECONDS OF SUMMER
She Loves You	BEATLES
She Makes Me Wanna	JLS FT DEV
She's Not You	ELVIS PRESLEY
She's The One	ROBBIE WILLIAMS
Shine	TAKE THAT
Should I Stay Or Should I Go	CLASH
Shout	SHOUT FT DIZZEE & JAMES CORDEN
Shout Out To My Ex	LITTLE MIX
Show Me Heaven	MARIA MCKEE
Show You The Way To Go	JACKSONS
Sign Of The Times	HARRY STYLES
Silence Is Golden	TREMELOES
Silver Lady	DAVID SOUL
Sing	ED SHEERAN
Sing	GARY BARLOW/ COMMONWEALTH BAND
Singin' In The Rain	MINT ROYALE
Skweeze Me Pleeze Me	SLADE
Skyscraper	SAM BAILEY
Sleeping Satellite	TASMIN ARCHER
Slow	KYLIE MINOGUE
Smack That	AKON FEAT. EMINEM
Smile	LILY ALLEN
So Sick	NE-YO
So What	PINK
So You Win Again	HOT CHOCOLATE
Some Might Say	OASIS
Somebody Help Me	SPENCER DAVIS GROUP
Somebody That I Used To Know	GOTYE FT KIMBRA
Someone Like You	ADELE
Somethin' Stupid	NANCY SINATRA & FRANK SINATRA
Somethin' Stupid	ROBBIE WILLIAMS & NICOLE KIDMAN
Something About The Way You Look Tonight	ELTON JOHN
Something I Need	BEN HAENOW
Something In The Air	THUNDERCLAP NEWMAN
Somethings Gotten Hold Of My Heart	MARC ALMOND FEATURING SPECIAL GUEST STAR GENE PITNEY
Sometimes You Can't Make It On Your Own	U2
Somewhere Only We Know	LILY ALLEN
Son Of My Father	CHICORY TIP
Sorry	JUSTIN BIEBER
Sorry	MADONNA
Sorry Seems To Be The Hardest Word	BLUE FEAT.ELTON JOHN
Sound Of The Underground	GIRLS ALOUD
Space Oddity	DAVID BOWIE
Spaceman	BABYLON ZOO
Spectrum	FLORENCE & THE MACHINE
Spice Up Your Life	SPICE GIRLS
Spinning Around	KYLIE MINOGUE
Spirit In The Sky	DOCTOR & THE MEDICS
Spirit In The Sky	GARETH GATES FEAT. THE KUMARS
Spirit In The Sky	NORMAN GREENBAUM
Stan	EMINEM
Stand And Deliver	ADAM & THE ANTS
Stand By Me	BEN E. KING
Stand By Your Man	TAMMY WYNETTE
Star Girl	McFLY
Star Trekkin'	THE FIRM
Starry Eyed	MICHAEL HOLLIDAY WITH THE MICHAEL SAMMES SINGERS
Start	JAM
Start Without You	ALEXANDRA BURKE FT LAZA MORGAN
Stay	SHAKESPEAR'S SISTER
Stay Another Day	EAST 17
Stay Awake	EXAMPLE
Stay With Me	SAM SMITH
Stickwitu	PUSSYCAT DOLLS
Stitches	SHAWN MENDES
Stomp	STEPS
Stop Living The Lie	DAVID SNEDDON
Strangers In The Night	FRANK SINATRA
Stronger	KANYE WEST
Sugar Baby Love	RUBETTES
Sugar Sugar	ARCHIES
Suicide Is Painless	MASH
Summer	CALVIN HARRIS
Summer Holiday	CLIFF RICHARD & THE SHADOWS
Summer Nights	JOHN TRAVOLTA & OLIVIA NEWTON-JOHN
Sunday Girl	BLONDIE
Sunny Afternoon	KINKS
Super Trouper	ABBA
Sure	TAKE THAT
Surrender	ELVIS PRESLEY WITH THE JORDANAIRES
Survivor	DESTINY'S CHILD
Swagger Jagger	CHER LLOYD
Swear It Again	WESTLIFE
Sweet Like Chocolate	SHANKS & BIGFOOT
Sweet Nothing	CALVIN HARRIS
Sweets For My Sweet	SEARCHERS
Swing The Mood	JIVE BUNNY & THE MASTERMIXERS
Symphony	CLEAN BANDIT FT ZARA LARSSON
Tainted Love	SOFT CELL
Take A Bow	RIHANNA
Take A Chance On Me	ABBA
Take Me Back 'ome	SLADE
Take Me To The Clouds Above	LMC V U2
Take My Breath Away	BERLIN
Take On Me	A1
Talk Dirty	JASON DERULO FT 2 CHAINZ
Tears	KEN DODD
Tears Of A Clown	SMOKEY ROBINSON & THE MIRACLES
Tears On My Pillow	JOHNNY NASH
Tears On My Pillow	KYLIE MINOGUE
Telegram Sam	T REX
Telephone	LADY GAGA & BEYONCE
Teletubbies Say Eh-oh!	TELETUBBIES
Tell Laura I Love Her	RICKY VALANCE
Telstar	TORNADOS
Temptation	EVERLY BROTHERS
That's My Goal	SHAYNE WARD
That's Not My Name	TING TINGS
That's What I Like	JIVE BUNNY & THE MASTERMIXERS
The Ballad Of Bonnie And Clyde	GEORGIE FAME
The Ballad Of John And Yoko	BEATLES
The Carnival Is Over	SEEKERS
The Chicken Song	SPITTING IMAGE
The Climb	JOE McELDERRY
The Club Is Alive	JLS
The Drugs Don't Work	VERVE
The Edge Of Heaven	WHAM!
The Fear	LILY ALLEN
The Final Countdown	EUROPE
The First Time	ROBIN BECK
The Fly	U2
The Good The Bad And The Ugly	HUGO MONTENEGRO & HIS ORCHESTRA & CHORUS
The Hindu Times	OASIS
The House Of The Rising Sun	ANIMALS
The Importance Of Being Idle	OASIS
The Joker	STEVE MILLER BAND
The Ketchup Song	LAS KETCHUP
The Lady In Red	CHRIS DE BURGH
The Land Of Make Believe	BUCKS FIZZ
The Last Time	ROLLING STONES
The Last Waltz	ENGELBERT HUMPERDINCK
The Lazy Song	BRUNO MARS
The Legend Of Xanadu	DAVE DEE, DOZY, BEAKY, MICK & TICH
The Lion Sleeps Tonight	TIGHT FIT
The Long And Winding Road	WILL YOUNG & GARETH GATES
The Man	ALOE BLACC
The Masses Against The Classes	MANIC STREET PREACHERS
The Minute You're Gone	CLIFF RICHARD
The Model	KRAFTWERK
The Monster	EMINEM FT RIHANNA
The Most Beautiful Girl In The World	PRINCE
The Name Of The Game	ABBA
The Next Time	CLIFF RICHARD & THE SHADOWS
The Official Bbc Children In Need Medley	PETER KAY'S ANIMATED ALL STAR
The One And Only	CHESNEY HAWKES
The Only Way Is Up	YAZZ & THE PLASTIC POPULATION
The Power	SNAP
The Power Of Love	FRANKIE GOES TO HOLLYWOOD
The Power Of Love	GABRIELLE APLIN
The Power Of Love	JENNIFER RUSH
The Promise	GIRLS ALOUD
The Real Slim Shady	EMINEM
The Real Thing	TONY DI BART
The Reflex	DURAN DURAN
The Rose	WESTLIFE
The Roussos Phenomenon Ep	DEMIS ROUSSOS
The Shoop Shoop Song	CHER
The Stonk	HALE & PACE & THE STONKERS
The Streak	RAY STEVENS
The Sun Ain't Gonna Shine Anymore	WALKER BROTHERS
The Sun Always Shines On Tv	A-HA
The Tide Is High	ATOMIC KITTEN
The Tide Is High	BLONDIE
The Time	BLACK EYED PEAS
The Twelfth Of Never	DONNY OSMOND
The Way I Are	TIMBALAND FEAT. DOE & KERI HILSON
The Way To Your Love	HEAR'SAY
The Wayward Wind	FRANK IFIELD
The Winner Takes It All	ABBA
The Wonder Of You	ELVIS PRESLEY
The Young Ones	CLIFF RICHARD & THE SHADOWS
Theme From S-express	S-EXPRESS
There Must Be An Angel	EURYTHMICS
There's Always Something There To Remind Me	SANDIE SHAW
There's No One Quite Like Grandma	ST WINIFRED'S SCHOOL CHOIR
These Boots Are Made For Walkin'	NANCY SINATRA
These Days	TAKE THAT
These Words	NATASHA BEDINGFIELD
Things Can Only Get Better	D:REAM
Think Twice	CELINE DION
Thinking Out Loud	ED SHEERAN
This Ain't A Love Song	SCOUTING FOR GIRLS
This Is Love	WILL I AM FT EVA SIMONS
This Is My Song	PETULA CLARK
This Ole House	SHAKIN' STEVENS
Those Were The Days	MARY HOPKIN
Three Lions	BADDIEL & SKINNER & LIGHTNING SEEDS
Three Lions '98	BADDIEL & SKINNER & LIGHTNING SEEDS
Three Steps To Heaven	EDDIE COCHRAN
Three Times A Lady	COMMODORES
Thrift Shop	MACKLEMORE
Thunder In My Heart Again	MECK FEAT. LEO SAYER
Thunderbirds/3am	BUSTED
Ticket To Ride	BEATLES
Tie A Yellow Ribbon Round The Old Oak Tree	DAWN FEATURING TONY ORLANDO
Tiger Feet	MUD
Timber	PITBULL FT KESHA
Tired Of Waiting For You	KINKS
Titanium	DAVID GUETTA FT SIA
To You I Belong	B*WITCHED
Toca's Miracle	FRAGMA
Together We Are Beautiful	FERN KINNEY
Too Close	BLUE
Too Many Broken Hearts	JASON DONOVAN
Too Much	SPICE GIRLS
Too Shy	KAJAGOOGOO
Total Eclipse Of The Heart	BONNIE TYLER
Touch Me	RUI DA SILVA FEATURING CASSANDRA
Tower Of Strength	FRANKIE VAUGHAN
Toxic	BRITNEY SPEARS
Tragedy	BEE GEES
Tragedy	STEPS
Troublemaker	OLLY MURS FT FLO RIDA
True	SPANDAU BALLET
True Blue	MADONNA
Tsunami	DVBBS & BORGEOUS
Turn Back Time	AQUA
Turn The Music Louder	KDA FT TINIE TEMPAH & KATY B
Turn Up The Music	CHRIS BROWN
Turtle Power	PARTNERS IN KRYME
Twilight	COVER DRIVE
Twist & Shout	CHAKA DEMUS & PLIERS FEATURING JACK RADICS & TAXI GANG
Two Little Boys	ROLF HARRIS
Two Tribes	FRANKIE GOES TO HOLLYWOOD
Umbrella	RIHANNA FEAT. JAY-Z
Unbreakable	WESTLIFE
Unchained Melody	GARETH GATES
Unchained Melody	RIGHTEOUS BROTHERS
Unchained Melody	ROBSON GREEN & JEROME FLYNN
Under Control	CALVIN HARRIS
Under Pressure	QUEEN & DAVID BOWIE
Under The Bridge	ALL SAINTS
Under The Moon Of Love	SHOWADDYWADDY
Up On The Roof	ROBSON GREEN & JEROME FLYNN
Up Town Top Ranking	ALTHIA & DONNA
Uptown Funk	MARK RONSON FT BRUNO MARS
Uptown Girl	BILLY JOEL
Uptown Girl	WESTLIFE
Use It Up And Wear It Out	ODYSSEY
Vertigo	U2
Video Killed The Radio Star	BUGGLES
Vincent	DON MCLEAN
Viva Forever	SPICE GIRLS
Viva La Vida	COLDPLAY
Vogue	MADONNA
Voodoo Chile	JIMI HENDRIX EXPERIENCE
Waiting All Night	RUDIMENTAL FT ELLA EYRE
Wake Me Up	AVICII
Wake Me Up	GARETH MALONE'S ALL STAR CHOIR
Wake Me Up Before You Go-go	WHAM!
Walk Right Back	EVERLY BROTHERS
Walk This Way	SUGABABES VS GIRLS ALOUD
Walkin' Back To Happiness	HELEN SHAPIRO
Walking On The Moon	POLICE
Wandrin' Star	LEE MARVIN
Wannabe	SPICE GIRLS
Want To Want Me	JASON DERULO
Waterloo	ABBA
Waves	MR PROBZ
Way Down	ELVIS PRESLEY
We Are The World	USA FOR AFRICA
We Are Young	FUN FT JANELLE MONAE
We Can't Stop	MILEY CYRUS
We Don't Talk Anymore	CLIFF RICHARD
We Found Love	RIHANNA FT CALVIN HARRIS
We No Speak Americano	YOLANDA BE COOL VS D CUP
We R Who We R	KESHA
We Will Rock You	FIVE & QUEEN
We're Going To Ibiza!	VENGABOYS
Welcome Home	PETERS & LEE
Welcome To The Black Parade	MY CHEMICAL ROMANCE
Well I Ask You	EDEN KANE
West End Girls	PET SHOP BOYS
What A Wonderful World	EVA CASSIDY & KATIE MELUA
What A Wonderful World	LOUIS ARMSTRONG
What About Us	SATURDAYS FT SEAN PAUL
What Becomes Of The Brokenhearted	ROBSON GREEN & JEROME FLYNN
What Do You Mean	JUSTIN BIEBER
What Do You Mean?	JUSTIN BIEBER
What Makes You Beautiful	ONE DIRECTION
What Took You So Long	EMMA BUNTON
What's Another Year	JOHNNY LOGAN
What's My Name	RIHANNA FT DRAKE
When A Child Is Born	JOHNNY MATHIS
When I Need You	LEO SAYER
When Love Takes Over	DAVID GUETTA FEAT. KELLY ROWLAND
When The Going Gets Tough	BOYZONE
When The Going Gets Tough, The Tough Get Going	BILLY OCEAN
When The Sun Goes Down	ARCTIC MONKEYS
When We Collide	MATT CARDLE
When Will I See You Again	THREE DEGREES
When You Believe	LEON JACKSON
When You Say Nothing At All	RONAN KEATING
When You're In Love With A Beautiful Woman	DR HOOK
Where Are You Now	JACKIE TRENT
Where Do You Go To My Lovely	PETER SARSTEDT
Where Is The Love	BLACK EYED PEAS
Wherever I Lay My Hat	PAUL YOUNG
Wherever You Are	MILITARY WIVES
Whispering Grass	WINDSOR DAVIES & DON ESTELLE
Who's David	BUSTED
Who's That Girl	MADONNA
Whole Again	ATOMIC KITTEN
Why	ANTHONY NEWLEY
Wild Thoughts	DJ KHALED FT RIHANNA & BRYSON TILLER
Wings	LITTLE MIX
Wishing On A Star	X FACTOR FINALISTS 2011
With A Girl Like You	TROGGS
With A Little Help From My Friends	JOE COCKER
With A Little Help From My Friends	SAM & MARK
With A Little Help From My Friends	WET WET WET
With Every Heartbeat	ROBYN WITH KLEERUP
Without Me	EMINEM
Without You	MARIAH CAREY
Without You	NILSSON
Woman	JOHN LENNON
Woman In Love	BARBRA STREISAND
Wonderful	JA RULE FEAT. R.KELLY & ASHANTI
Wonderful Land	SHADOWS
Wooden Heart	ELVIS PRESLEY
Woodstock	MATTHEW'S SOUTHERN COMFORT
Words	BOYZONE
Working My Way Back To You - Forgive Me Girl	DETROIT SPINNERS
World In Motion	ENGLANDNEWORDER
World Of Our Own	WESTLIFE
Would I Lie To You	CHARLES & EDDIE
Wrecking Ball	MILEY CYRUS
Writing's On The Wall	SAM SMITH
Written In The Stars	TINIE TEMPAH
Wuthering Heights	KATE BUSH
Xanadu	OLIVIA NEWTON-JOHN & ELECTRIC LIGHT ORCHESTRA
Y M C A	VILLAGE PEOPLE
Yeah	USHER FEAT. LIL' JON & LUDACRIS
Yeh Yeh	GEORGIE FAME & THE BLUE FLAMES
Yellow River	CHRISTIE
Yellow Submarine	BEATLES
Yes Sir I Can Boogie	BACCARA
You Are Not Alone	MICHAEL JACKSON
You Are Not Alone	X FACTOR FINALISTS 2009
You Can't Hurry Love	PHIL COLLINS
You Don't Have To Say You Love Me	DUSTY SPRINGFIELD
You Don't Know	HELEN SHAPIRO
You Don't Know Me	ARMAND VAN HELDEN FEATURING DUANE HAEDEN
You Got It	NEW KIDS ON THE BLOCK
You Make Me Wanna	USHER
You Needed Me	BOYZONE
You Raise Me Up	WESTLIFE
You Really Got Me	KINKS
You Said No	BUSTED
You See The Trouble With Me	BLACK LEGEND
You Spin Me Round	DEAD OR ALIVE
You To Me Are Everything	REAL THING
You Wear It Well	ROD STEWART
You Win Again	BEE GEES
You Won't Find Another Fool Like Me	NEW SEEKERS
You'll Never Stop Me Loving You	SONIA
You'll Never Walk Alone	CROWD
You'll Never Walk Alone	GERRY & THE PACEMAKERS
You're Beautiful	JAMES BLUNT
You're Driving Me Crazy	TEMPERANCE SEVEN
You're My World	CILLA BLACK
You're Not Alone	OLIVE
You're The Devil In Disguise	ELVIS PRESLEY WITH THE JORDANAIRES
You're The First The Last My Everything	BARRY WHITE
You're The One That I Want	JOHN TRAVOLTA & OLIVIA NEWTON-JOHN
You've Lost That Loving Feelin'	RIGHTEOUS BROTHERS
Young	TULISA
Young At Heart	BLUEBELLS
Young Girl	UNION GAP FEATURING GARY PUCKETT
Young Love	DONNY OSMOND
Your Woman	WHITE TOWN

